Venue,Team,Matches,Wins,Win_Rate
M Chinnaswamy Stadium,RCB,61,28,45.90163934426229
M Chinnaswamy Stadium,DD,7,3,42.857142857142854
M Chinnaswamy Stadium,KXIP,10,5,50.0
M Chinnaswamy Stadium,MI,10,8,80.0
M Chinnaswamy Stadium,KKR,11,6,54.54545454545454
M Chinnaswamy Stadium,RR,6,3,50.0
M Chinnaswamy Stadium,SRH,9,3,33.33333333333333
M Chinnaswamy Stadium,CSK,7,4,57.14285714285714
M Chinnaswamy Stadium,KTK,1,0,0.0
M Chinnaswamy Stadium,PW,3,0,0.0
M Chinnaswamy Stadium,GL,3,1,33.33333333333333
M Chinnaswamy Stadium,RPS,2,1,50.0
Arun Jaitley Stadium,RCB,10,6,60.0
Arun Jaitley Stadium,DD,63,27,42.857142857142854
Arun Jaitley Stadium,KXIP,11,5,45.45454545454545
Arun Jaitley Stadium,MI,15,7,46.666666666666664
Arun Jaitley Stadium,KKR,11,5,45.45454545454545
Arun Jaitley Stadium,RR,12,5,41.66666666666667
Arun Jaitley Stadium,SRH,16,10,62.5
Arun Jaitley Stadium,CSK,11,8,72.72727272727273
Arun Jaitley Stadium,KTK,1,1,100.0
Arun Jaitley Stadium,PW,2,1,50.0
Arun Jaitley Stadium,GL,3,1,33.33333333333333
Arun Jaitley Stadium,RPS,2,1,50.0
Arun Jaitley Stadium,DC,19,9,47.368421052631575
Arun Jaitley Stadium,PBKS,1,1,100.0
Arun Jaitley Stadium,LSG,1,0,0.0
Arun Jaitley Stadium,GT,2,1,50.0
PCA IS Bindra Stadium,RCB,8,5,62.5
PCA IS Bindra Stadium,DD,6,1,16.666666666666664
PCA IS Bindra Stadium,KXIP,56,30,53.57142857142857
PCA IS Bindra Stadium,MI,9,5,55.55555555555556
PCA IS Bindra Stadium,KKR,8,4,50.0
PCA IS Bindra Stadium,RR,7,3,42.857142857142854
PCA IS Bindra Stadium,SRH,8,4,50.0
PCA IS Bindra Stadium,CSK,6,3,50.0
PCA IS Bindra Stadium,PW,3,1,33.33333333333333
PCA IS Bindra Stadium,GL,2,2,100.0
PCA IS Bindra Stadium,RPS,1,0,0.0
PCA IS Bindra Stadium,DC,1,0,0.0
PCA IS Bindra Stadium,PBKS,5,1,20.0
PCA IS Bindra Stadium,LSG,1,1,100.0
PCA IS Bindra Stadium,GT,1,1,100.0
Wankhede Stadium,RCB,18,8,44.44444444444444
Wankhede Stadium,DD,8,2,25.0
Wankhede Stadium,KXIP,11,5,45.45454545454545
Wankhede Stadium,MI,85,51,60.0
Wankhede Stadium,KKR,17,5,29.411764705882355
Wankhede Stadium,RR,20,10,50.0
Wankhede Stadium,SRH,15,3,20.0
Wankhede Stadium,CSK,25,13,52.0
Wankhede Stadium,KTK,1,1,100.0
Wankhede Stadium,PW,3,1,33.33333333333333
Wankhede Stadium,GL,2,1,50.0
Wankhede Stadium,RPS,3,3,100.0
Wankhede Stadium,DC,10,4,40.0
Wankhede Stadium,PBKS,8,4,50.0
Wankhede Stadium,LSG,5,3,60.0
Wankhede Stadium,GT,5,3,60.0
Eden Gardens,RCB,13,5,38.46153846153847
Eden Gardens,DD,8,1,12.5
Eden Gardens,KXIP,11,3,27.27272727272727
Eden Gardens,MI,14,10,71.42857142857143
Eden Gardens,KKR,88,52,59.09090909090909
Eden Gardens,RR,12,4,33.33333333333333
Eden Gardens,SRH,13,3,23.076923076923077
Eden Gardens,CSK,12,6,50.0
Eden Gardens,KTK,1,1,100.0
Eden Gardens,PW,1,0,0.0
Eden Gardens,GL,2,2,100.0
Eden Gardens,RPS,2,1,50.0
Eden Gardens,DC,2,1,50.0
Eden Gardens,PBKS,2,1,50.0
Eden Gardens,LSG,3,1,33.33333333333333
Eden Gardens,GT,2,2,100.0
Sawai Mansingh Stadium,RCB,9,4,44.44444444444444
Sawai Mansingh Stadium,DD,5,1,20.0
Sawai Mansingh Stadium,KXIP,6,1,16.666666666666664
Sawai Mansingh Stadium,MI,8,2,25.0
Sawai Mansingh Stadium,KKR,6,3,50.0
Sawai Mansingh Stadium,RR,57,37,64.91228070175438
Sawai Mansingh Stadium,SRH,6,2,33.33333333333333
Sawai Mansingh Stadium,CSK,7,3,42.857142857142854
Sawai Mansingh Stadium,KTK,1,0,0.0
Sawai Mansingh Stadium,PW,3,0,0.0
Sawai Mansingh Stadium,DC,2,1,50.0
Sawai Mansingh Stadium,LSG,2,1,50.0
Sawai Mansingh Stadium,GT,2,2,100.0
Rajiv Gandhi Intl. Stadium,RCB,12,4,33.33333333333333
Rajiv Gandhi Intl. Stadium,DD,7,4,57.14285714285714
Rajiv Gandhi Intl. Stadium,KXIP,10,4,40.0
Rajiv Gandhi Intl. Stadium,MI,13,8,61.53846153846154
Rajiv Gandhi Intl. Stadium,KKR,9,6,66.66666666666666
Rajiv Gandhi Intl. Stadium,RR,8,3,37.5
Rajiv Gandhi Intl. Stadium,SRH,75,38,50.66666666666667
Rajiv Gandhi Intl. Stadium,CSK,7,3,42.857142857142854
Rajiv Gandhi Intl. Stadium,PW,2,1,50.0
Rajiv Gandhi Intl. Stadium,GL,2,0,0.0
Rajiv Gandhi Intl. Stadium,RPS,3,2,66.66666666666666
Rajiv Gandhi Intl. Stadium,DC,2,2,100.0
Rajiv Gandhi Intl. Stadium,PBKS,2,0,0.0
Rajiv Gandhi Intl. Stadium,LSG,2,1,50.0
MA Chidambaram Stadium,RCB,13,5,38.46153846153847
MA Chidambaram Stadium,DD,7,2,28.57142857142857
MA Chidambaram Stadium,KXIP,6,1,16.666666666666664
MA Chidambaram Stadium,MI,15,8,53.333333333333336
MA Chidambaram Stadium,KKR,15,5,33.33333333333333
MA Chidambaram Stadium,RR,10,2,20.0
MA Chidambaram Stadium,SRH,16,4,25.0
MA Chidambaram Stadium,CSK,71,50,70.4225352112676
MA Chidambaram Stadium,KTK,1,0,0.0
MA Chidambaram Stadium,PW,3,1,33.33333333333333
MA Chidambaram Stadium,DC,4,1,25.0
MA Chidambaram Stadium,PBKS,4,3,75.0
MA Chidambaram Stadium,LSG,3,1,33.33333333333333
MA Chidambaram Stadium,GT,2,0,0.0
Dr DY Patil Sports Academy,RCB,6,3,50.0
Dr DY Patil Sports Academy,DD,2,1,50.0
Dr DY Patil Sports Academy,KXIP,1,0,0.0
Dr DY Patil Sports Academy,MI,11,6,54.54545454545454
Dr DY Patil Sports Academy,KKR,6,3,50.0
Dr DY Patil Sports Academy,RR,6,2,33.33333333333333
Dr DY Patil Sports Academy,SRH,10,5,50.0
Dr DY Patil Sports Academy,CSK,8,6,75.0
Dr DY Patil Sports Academy,KTK,1,0,0.0
Dr DY Patil Sports Academy,PW,7,2,28.57142857142857
Dr DY Patil Sports Academy,DC,4,2,50.0
Dr DY Patil Sports Academy,PBKS,4,2,50.0
Dr DY Patil Sports Academy,LSG,4,3,75.0
Dr DY Patil Sports Academy,GT,4,2,50.0
Newlands,RCB,2,1,50.0
Newlands,DD,1,1,100.0
Newlands,KXIP,2,1,50.0
Newlands,MI,1,1,100.0
Newlands,KKR,2,0,0.0
Newlands,RR,3,0,0.0
Newlands,SRH,2,2,100.0
Newlands,CSK,1,0,0.0
St George's Park,RCB,3,0,0.0
St George's Park,DD,1,1,100.0
St George's Park,KXIP,1,1,100.0
St George's Park,MI,3,2,66.66666666666666
St George's Park,KKR,2,0,0.0
St George's Park,RR,1,1,100.0
St George's Park,SRH,1,0,0.0
St George's Park,CSK,2,2,100.0
Kingsmead,RCB,4,3,75.0
Kingsmead,DD,3,3,100.0
Kingsmead,KXIP,6,2,33.33333333333333
Kingsmead,MI,3,0,0.0
Kingsmead,KKR,4,2,50.0
Kingsmead,RR,3,2,66.66666666666666
Kingsmead,SRH,3,2,66.66666666666666
Kingsmead,CSK,4,1,25.0
SuperSport Park,RCB,3,2,66.66666666666666
SuperSport Park,DD,4,2,50.0
SuperSport Park,KXIP,2,0,0.0
SuperSport Park,MI,3,1,33.33333333333333
SuperSport Park,KKR,2,1,50.0
SuperSport Park,RR,3,2,66.66666666666666
SuperSport Park,SRH,4,2,50.0
SuperSport Park,CSK,3,2,66.66666666666666
Buffalo Park,DD,1,1,100.0
Buffalo Park,MI,2,1,50.0
Buffalo Park,KKR,1,0,0.0
Buffalo Park,SRH,1,0,0.0
Buffalo Park,CSK,1,1,100.0
New Wanderers Stadium,RCB,4,3,75.0
New Wanderers Stadium,DD,3,1,33.33333333333333
New Wanderers Stadium,KXIP,1,1,100.0
New Wanderers Stadium,MI,1,0,0.0
New Wanderers Stadium,KKR,2,0,0.0
New Wanderers Stadium,SRH,3,2,66.66666666666666
New Wanderers Stadium,CSK,2,1,50.0
De Beers Diamond Oval,KXIP,1,1,100.0
De Beers Diamond Oval,RR,2,0,0.0
De Beers Diamond Oval,SRH,2,1,50.0
De Beers Diamond Oval,CSK,1,1,100.0
OUTsurance Oval,DD,2,1,50.0
OUTsurance Oval,KXIP,1,1,100.0
OUTsurance Oval,RR,1,0,0.0
Brabourne Stadium,RCB,4,1,25.0
Brabourne Stadium,DD,2,0,0.0
Brabourne Stadium,KXIP,1,0,0.0
Brabourne Stadium,MI,11,7,63.63636363636363
Brabourne Stadium,KKR,5,0,0.0
Brabourne Stadium,RR,7,5,71.42857142857143
Brabourne Stadium,SRH,5,3,60.0
Brabourne Stadium,CSK,5,1,20.0
Brabourne Stadium,DC,4,4,100.0
Brabourne Stadium,PBKS,4,2,50.0
Brabourne Stadium,LSG,3,2,66.66666666666666
Brabourne Stadium,GT,3,2,66.66666666666666
Narendra Modi Stadium,RCB,6,3,50.0
Narendra Modi Stadium,DD,2,1,50.0
Narendra Modi Stadium,KXIP,1,0,0.0
Narendra Modi Stadium,MI,5,1,20.0
Narendra Modi Stadium,KKR,6,3,50.0
Narendra Modi Stadium,RR,16,10,62.5
Narendra Modi Stadium,SRH,5,1,20.0
Narendra Modi Stadium,CSK,5,1,20.0
Narendra Modi Stadium,DC,5,4,80.0
Narendra Modi Stadium,PBKS,4,2,50.0
Narendra Modi Stadium,LSG,1,0,0.0
Narendra Modi Stadium,GT,16,9,56.25
Barabati Stadium,DD,1,0,0.0
Barabati Stadium,KXIP,3,1,33.33333333333333
Barabati Stadium,MI,1,0,0.0
Barabati Stadium,KKR,3,3,100.0
Barabati Stadium,SRH,4,3,75.0
Barabati Stadium,CSK,1,0,0.0
Barabati Stadium,PW,1,0,0.0
VCA Stadium,RCB,1,0,0.0
VCA Stadium,RR,1,1,100.0
VCA Stadium,SRH,3,2,66.66666666666666
VCA Stadium,CSK,1,0,0.0
HPCA Stadium,RCB,2,1,50.0
HPCA Stadium,DD,3,1,33.33333333333333
HPCA Stadium,KXIP,9,5,55.55555555555556
HPCA Stadium,MI,1,0,0.0
HPCA Stadium,RR,1,1,100.0
HPCA Stadium,SRH,2,2,100.0
HPCA Stadium,CSK,3,2,66.66666666666666
HPCA Stadium,DC,1,1,100.0
HPCA Stadium,PBKS,4,0,0.0
Nehru Stadium,RCB,1,1,100.0
Nehru Stadium,DD,1,1,100.0
Nehru Stadium,KKR,1,0,0.0
Nehru Stadium,SRH,1,1,100.0
Nehru Stadium,CSK,1,0,0.0
Nehru Stadium,KTK,5,2,40.0
Holkar Cricket Stadium,RCB,2,1,50.0
Holkar Cricket Stadium,KXIP,8,4,50.0
Holkar Cricket Stadium,MI,2,2,100.0
Holkar Cricket Stadium,KKR,1,1,100.0
Holkar Cricket Stadium,RR,2,0,0.0
Holkar Cricket Stadium,KTK,2,1,50.0
Holkar Cricket Stadium,RPS,1,0,0.0
ACA-VDCA Stadium,DD,3,1,33.33333333333333
ACA-VDCA Stadium,KXIP,2,1,50.0
ACA-VDCA Stadium,MI,4,2,50.0
ACA-VDCA Stadium,KKR,2,1,50.0
ACA-VDCA Stadium,RR,1,1,100.0
ACA-VDCA Stadium,SRH,8,3,37.5
ACA-VDCA Stadium,CSK,3,2,66.66666666666666
ACA-VDCA Stadium,RPS,3,2,66.66666666666666
ACA-VDCA Stadium,DC,4,2,50.0
Subrata Roy Sahara Stadium,RCB,2,2,100.0
Subrata Roy Sahara Stadium,DD,3,1,33.33333333333333
Subrata Roy Sahara Stadium,KXIP,2,1,50.0
Subrata Roy Sahara Stadium,MI,2,2,100.0
Subrata Roy Sahara Stadium,KKR,3,3,100.0
Subrata Roy Sahara Stadium,RR,2,1,50.0
Subrata Roy Sahara Stadium,SRH,1,1,100.0
Subrata Roy Sahara Stadium,CSK,2,1,50.0
Subrata Roy Sahara Stadium,PW,15,4,26.666666666666668
"MCA Stadium, Pune",RCB,7,4,57.14285714285714
"MCA Stadium, Pune",DD,3,2,66.66666666666666
"MCA Stadium, Pune",KXIP,5,0,0.0
"MCA Stadium, Pune",MI,6,2,33.33333333333333
"MCA Stadium, Pune",KKR,6,5,83.33333333333334
"MCA Stadium, Pune",RR,5,3,60.0
"MCA Stadium, Pune",SRH,6,1,16.666666666666664
"MCA Stadium, Pune",CSK,9,6,66.66666666666666
"MCA Stadium, Pune",PW,1,0,0.0
"MCA Stadium, Pune",GL,2,1,50.0
"MCA Stadium, Pune",RPS,11,5,45.45454545454545
"MCA Stadium, Pune",DC,1,0,0.0
"MCA Stadium, Pune",PBKS,2,1,50.0
"MCA Stadium, Pune",LSG,3,2,66.66666666666666
"MCA Stadium, Pune",GT,3,3,100.0
SVNS Intl. Stadium,RCB,1,1,100.0
SVNS Intl. Stadium,DD,6,4,66.66666666666666
SVNS Intl. Stadium,KKR,1,0,0.0
SVNS Intl. Stadium,SRH,2,1,50.0
SVNS Intl. Stadium,CSK,1,0,0.0
SVNS Intl. Stadium,PW,1,0,0.0
JSCA Intl. Stadium Complex,RCB,3,1,33.33333333333333
JSCA Intl. Stadium Complex,KKR,3,1,33.33333333333333
JSCA Intl. Stadium Complex,RR,1,0,0.0
JSCA Intl. Stadium Complex,SRH,1,1,100.0
JSCA Intl. Stadium Complex,CSK,5,3,60.0
